t,degree,alpha,personi
1.0495607834767657,1,6.4,64
1.0495607834767657,2,6.5,65
1.0495607834767657,1,6.6000000000000005,66
1.0495607834767657,1,6.7,67
1.0495607834767657,0,6.800000000000001,68
1.0495607834767657,1,6.9,69
1.0495607834767657,1,7.0,70
1.0495607834767657,2,7.1000000000000005,71
1.0495607834767657,0,7.2,72
1.0495607834767657,0,7.300000000000001,73
1.0495607834767657,2,7.4,74
1.0495607834767657,1,7.5,75
1.0495607834767657,2,7.6000000000000005,76
1.0495607834767657,0,7.7,77
1.0495607834767657,0,7.800000000000001,78
1.0495607834767657,0,7.9,79
1.0495607834767657,1,8.0,80
1.0495607834767657,2,8.1,81
1.0495607834767657,0,8.200000000000001,82
1.0495607834767657,1,8.3,83
1.0495607834767657,0,8.4,84
1.0495607834767657,1,8.5,85
1.0495607834767657,1,8.6,86
1.0495607834767657,2,8.700000000000001,87
1.0495607834767657,0,8.8,88
1.0495607834767657,0,8.9,89
1.0495607834767657,1,9.0,90
1.0495607834767657,1,9.1,91
1.0495607834767657,1,9.200000000000001,92
1.0495607834767657,2,9.3,93
1.0495607834767657,2,9.4,94
1.0495607834767657,1,9.5,95
1.0495607834767657,0,9.600000000000001,96
1.0495607834767657,1,9.700000000000001,97
1.0495607834767657,0,9.8,98
1.0495607834767657,1,9.9,99
1.0608140025255655,0,0.0,0
1.0608140025255655,0,0.1,1
1.0608140025255655,1,0.2,2
1.0608140025255655,1,0.30000000000000004,3
1.0608140025255655,1,0.4,4
1.0608140025255655,0,0.5,5
1.0608140025255655,1,0.6000000000000001,6
1.0608140025255655,0,0.7000000000000001,7
1.0608140025255655,1,0.8,8
1.0608140025255655,0,0.9,9
1.0608140025255655,0,1.0,10
1.0608140025255655,1,1.1,11
1.0608140025255655,0,1.2000000000000002,12
1.0608140025255655,0,1.3,13
1.0608140025255655,1,1.4000000000000001,14
1.0608140025255655,1,1.5,15
1.0608140025255655,1,1.6,16
1.0608140025255655,1,1.7000000000000002,17
1.0608140025255655,1,1.8,18
1.0608140025255655,1,1.9000000000000001,19
1.0608140025255655,1,2.0,20
1.0608140025255655,0,2.1,21
1.0608140025255655,1,2.2,22
1.0608140025255655,1,2.3000000000000003,23
1.0608140025255655,2,2.4000000000000004,24
1.0608140025255655,1,2.5,25
1.0608140025255655,1,2.6,26
1.0608140025255655,1,2.7,27
1.0608140025255655,1,2.8000000000000003,28
1.0608140025255655,2,2.9000000000000004,29
1.0608140025255655,1,3.0,30
1.0608140025255655,0,3.1,31
1.0608140025255655,0,3.2,32
1.0608140025255655,1,3.3000000000000003,33
1.0608140025255655,1,3.4000000000000004,34
1.0608140025255655,0,3.5,35
1.0608140025255655,1,3.6,36
1.0608140025255655,1,3.7,37
1.0608140025255655,2,3.8000000000000003,38
1.0608140025255655,1,3.9000000000000004,39
1.0608140025255655,1,4.0,40
1.0608140025255655,1,4.1000000000000005,41
1.0608140025255655,1,4.2,42
1.0608140025255655,2,4.3,43
1.0608140025255655,1,4.4,44
1.0608140025255655,1,4.5,45
1.0608140025255655,0,4.6000000000000005,46
1.0608140025255655,3,4.7,47
1.0608140025255655,1,4.800000000000001,48
1.0608140025255655,3,4.9,49
1.0608140025255655,1,5.0,50
1.0608140025255655,0,5.1000000000000005,51
1.0608140025255655,0,5.2,52
1.0608140025255655,0,5.300000000000001,53
1.0608140025255655,0,5.4,54
1.0608140025255655,2,5.5,55
1.0608140025255655,1,5.6000000000000005,56
1.0608140025255655,0,5.7,57
1.0608140025255655,0,5.800000000000001,58
1.0608140025255655,0,5.9,59
1.0608140025255655,1,6.0,60
1.0608140025255655,0,6.1000000000000005,61
1.0608140025255655,1,6.2,62
1.0608140025255655,1,6.300000000000001,63
1.0608140025255655,1,6.4,64
1.0608140025255655,2,6.5,65
1.0608140025255655,1,6.6000000000000005,66
1.0608140025255655,1,6.7,67
1.0608140025255655,0,6.800000000000001,68
1.0608140025255655,1,6.9,69
1.0608140025255655,1,7.0,70
1.0608140025255655,2,7.1000000000000005,71
1.0608140025255655,0,7.2,72
1.0608140025255655,0,7.300000000000001,73
1.0608140025255655,2,7.4,74
1.0608140025255655,1,7.5,75
1.0608140025255655,2,7.6000000000000005,76
1.0608140025255655,0,7.7,77
1.0608140025255655,0,7.800000000000001,78
1.0608140025255655,0,7.9,79
1.0608140025255655,2,8.0,80
1.0608140025255655,2,8.1,81
1.0608140025255655,0,8.200000000000001,82
1.0608140025255655,1,8.3,83
1.0608140025255655,0,8.4,84
1.0608140025255655,1,8.5,85
1.0608140025255655,1,8.6,86
1.0608140025255655,3,8.700000000000001,87
1.0608140025255655,0,8.8,88
1.0608140025255655,0,8.9,89
1.0608140025255655,1,9.0,90
1.0608140025255655,1,9.1,91
1.0608140025255655,1,9.200000000000001,92
1.0608140025255655,2,9.3,93
1.0608140025255655,2,9.4,94
1.0608140025255655,1,9.5,95
1.0608140025255655,0,9.600000000000001,96
1.0608140025255655,1,9.700000000000001,97
1.0608140025255655,0,9.8,98
1.0608140025255655,1,9.9,99
1.0733614067475041,0,0.0,0
1.0733614067475041,0,0.1,1
1.0733614067475041,1,0.2,2
1.0733614067475041,1,0.30000000000000004,3
1.0733614067475041,1,0.4,4
1.0733614067475041,0,0.5,5
1.0733614067475041,1,0.6000000000000001,6
1.0733614067475041,0,0.7000000000000001,7
1.0733614067475041,1,0.8,8
1.0733614067475041,0,0.9,9
1.0733614067475041,0,1.0,10
1.0733614067475041,1,1.1,11
1.0733614067475041,0,1.2000000000000002,12
1.0733614067475041,0,1.3,13
1.0733614067475041,1,1.4000000000000001,14
1.0733614067475041,1,1.5,15
1.0733614067475041,1,1.6,16
1.0733614067475041,1,1.7000000000000002,17
1.0733614067475041,1,1.8,18
1.0733614067475041,1,1.9000000000000001,19
1.0733614067475041,1,2.0,20
1.0733614067475041,0,2.1,21
1.0733614067475041,1,2.2,22
1.0733614067475041,1,2.3000000000000003,23
1.0733614067475041,2,2.4000000000000004,24
1.0733614067475041,1,2.5,25
1.0733614067475041,1,2.6,26
1.0733614067475041,1,2.7,27
1.0733614067475041,1,2.8000000000000003,28
1.0733614067475041,2,2.9000000000000004,29
1.0733614067475041,1,3.0,30
1.0733614067475041,0,3.1,31
1.0733614067475041,0,3.2,32
1.0733614067475041,1,3.3000000000000003,33
1.0733614067475041,1,3.4000000000000004,34
1.0733614067475041,0,3.5,35
1.0733614067475041,1,3.6,36
1.0733614067475041,1,3.7,37
1.0733614067475041,2,3.8000000000000003,38
1.0733614067475041,1,3.9000000000000004,39
1.0733614067475041,1,4.0,40
1.0733614067475041,1,4.1000000000000005,41
1.0733614067475041,1,4.2,42
1.0733614067475041,2,4.3,43
1.0733614067475041,2,4.4,44
1.0733614067475041,1,4.5,45
1.0733614067475041,0,4.6000000000000005,46
1.0733614067475041,3,4.7,47
1.0733614067475041,1,4.800000000000001,48
1.0733614067475041,3,4.9,49
1.0733614067475041,1,5.0,50
1.0733614067475041,0,5.1000000000000005,51
1.0733614067475041,0,5.2,52
1.0733614067475041,0,5.300000000000001,53
1.0733614067475041,0,5.4,54
1.0733614067475041,2,5.5,55
1.0733614067475041,1,5.6000000000000005,56
1.0733614067475041,0,5.7,57
1.0733614067475041,0,5.800000000000001,58
1.0733614067475041,0,5.9,59
1.0733614067475041,1,6.0,60
1.0733614067475041,0,6.1000000000000005,61
1.0733614067475041,1,6.2,62
1.0733614067475041,1,6.300000000000001,63
1.0733614067475041,1,6.4,64
1.0733614067475041,2,6.5,65
1.0733614067475041,1,6.6000000000000005,66
1.0733614067475041,1,6.7,67
1.0733614067475041,0,6.800000000000001,68
1.0733614067475041,1,6.9,69
1.0733614067475041,1,7.0,70
1.0733614067475041,2,7.1000000000000005,71
1.0733614067475041,0,7.2,72
1.0733614067475041,0,7.300000000000001,73
1.0733614067475041,2,7.4,74
1.0733614067475041,1,7.5,75
1.0733614067475041,2,7.6000000000000005,76
1.0733614067475041,0,7.7,77
1.0733614067475041,0,7.800000000000001,78
1.0733614067475041,0,7.9,79
1.0733614067475041,2,8.0,80
1.0733614067475041,2,8.1,81
1.0733614067475041,0,8.200000000000001,82
1.0733614067475041,1,8.3,83
1.0733614067475041,0,8.4,84
1.0733614067475041,1,8.5,85
1.0733614067475041,1,8.6,86
1.0733614067475041,3,8.700000000000001,87
1.0733614067475041,1,8.8,88
1.0733614067475041,0,8.9,89
1.0733614067475041,1,9.0,90
1.0733614067475041,1,9.1,91
1.0733614067475041,1,9.200000000000001,92
1.0733614067475041,2,9.3,93
1.0733614067475041,2,9.4,94
1.0733614067475041,1,9.5,95
1.0733614067475041,0,9.600000000000001,96
1.0733614067475041,1,9.700000000000001,97
1.0733614067475041,0,9.8,98
1.0733614067475041,1,9.9,99
1.1065055062297577,0,0.0,0
1.1065055062297577,0,0.1,1
1.1065055062297577,1,0.2,2
1.1065055062297577,1,0.30000000000000004,3
1.1065055062297577,1,0.4,4
1.1065055062297577,0,0.5,5
1.1065055062297577,1,0.6000000000000001,6
1.1065055062297577,0,0.7000000000000001,7
1.1065055062297577,1,0.8,8
1.1065055062297577,0,0.9,9
1.1065055062297577,0,1.0,10
1.1065055062297577,1,1.1,11
1.1065055062297577,0,1.2000000000000002,12
1.1065055062297577,0,1.3,13
1.1065055062297577,1,1.4000000000000001,14
1.1065055062297577,1,1.5,15
1.1065055062297577,1,1.6,16
1.1065055062297577,1,1.7000000000000002,17
1.1065055062297577,1,1.8,18
1.1065055062297577,1,1.9000000000000001,19
1.1065055062297577,1,2.0,20
1.1065055062297577,0,2.1,21
1.1065055062297577,1,2.2,22
1.1065055062297577,1,2.3000000000000003,23
1.1065055062297577,2,2.4000000000000004,24
1.1065055062297577,1,2.5,25
1.1065055062297577,1,2.6,26
1.1065055062297577,1,2.7,27
1.1065055062297577,1,2.8000000000000003,28
1.1065055062297577,2,2.9000000000000004,29
1.1065055062297577,1,3.0,30
1.1065055062297577,0,3.1,31
1.1065055062297577,0,3.2,32
1.1065055062297577,1,3.3000000000000003,33
1.1065055062297577,1,3.4000000000000004,34
1.1065055062297577,0,3.5,35
1.1065055062297577,1,3.6,36
1.1065055062297577,1,3.7,37
1.1065055062297577,2,3.8000000000000003,38
1.1065055062297577,1,3.9000000000000004,39
1.1065055062297577,1,4.0,40
1.1065055062297577,1,4.1000000000000005,41
1.1065055062297577,1,4.2,42
1.1065055062297577,2,4.3,43
1.1065055062297577,2,4.4,44
1.1065055062297577,1,4.5,45
1.1065055062297577,1,4.6000000000000005,46
1.1065055062297577,3,4.7,47
1.1065055062297577,1,4.800000000000001,48
1.1065055062297577,3,4.9,49
1.1065055062297577,1,5.0,50
1.1065055062297577,0,5.1000000000000005,51
1.1065055062297577,0,5.2,52
1.1065055062297577,0,5.300000000000001,53
1.1065055062297577,0,5.4,54
1.1065055062297577,2,5.5,55
1.1065055062297577,1,5.6000000000000005,56
1.1065055062297577,0,5.7,57
1.1065055062297577,0,5.800000000000001,58
1.1065055062297577,0,5.9,59
1.1065055062297577,1,6.0,60
1.1065055062297577,0,6.1000000000000005,61
1.1065055062297577,1,6.2,62
1.1065055062297577,1,6.300000000000001,63
1.1065055062297577,1,6.4,64
1.1065055062297577,2,6.5,65
1.1065055062297577,2,6.6000000000000005,66
1.1065055062297577,1,6.7,67
1.1065055062297577,0,6.800000000000001,68
1.1065055062297577,1,6.9,69
1.1065055062297577,1,7.0,70
1.1065055062297577,2,7.1000000000000005,71
1.1065055062297577,0,7.2,72
1.1065055062297577,0,7.300000000000001,73
1.1065055062297577,2,7.4,74
1.1065055062297577,1,7.5,75
1.1065055062297577,2,7.6000000000000005,76
1.1065055062297577,0,7.7,77
1.1065055062297577,0,7.800000000000001,78
1.1065055062297577,0,7.9,79
1.1065055062297577,2,8.0,80
1.1065055062297577,2,8.1,81
1.1065055062297577,0,8.200000000000001,82
1.1065055062297577,1,8.3,83
1.1065055062297577,0,8.4,84
1.1065055062297577,1,8.5,85
1.1065055062297577,1,8.6,86
1.1065055062297577,3,8.700000000000001,87
1.1065055062297577,1,8.8,88
1.1065055062297577,0,8.9,89
1.1065055062297577,1,9.0,90
1.1065055062297577,1,9.1,91
1.1065055062297577,1,9.200000000000001,92
1.1065055062297577,2,9.3,93
1.1065055062297577,2,9.4,94
1.1065055062297577,1,9.5,95
1.1065055062297577,0,9.600000000000001,96
1.1065055062297577,1,9.700000000000001,97
1.1065055062297577,0,9.8,98
1.1065055062297577,1,9.9,99
1.1542349224292314,0,0.0,0
1.1542349224292314,0,0.1,1
1.1542349224292314,1,0.2,2
1.1542349224292314,1,0.30000000000000004,3
1.1542349224292314,1,0.4,4
1.1542349224292314,0,0.5,5
1.1542349224292314,1,0.6000000000000001,6
1.1542349224292314,0,0.7000000000000001,7
1.1542349224292314,1,0.8,8
1.1542349224292314,0,0.9,9
1.1542349224292314,0,1.0,10
1.1542349224292314,2,1.1,11
1.1542349224292314,0,1.2000000000000002,12
1.1542349224292314,0,1.3,13
1.1542349224292314,1,1.4000000000000001,14
1.1542349224292314,1,1.5,15
1.1542349224292314,1,1.6,16
1.1542349224292314,1,1.7000000000000002,17
1.1542349224292314,1,1.8,18
1.1542349224292314,1,1.9000000000000001,19
1.1542349224292314,1,2.0,20
1.1542349224292314,0,2.1,21
1.1542349224292314,1,2.2,22
1.1542349224292314,1,2.3000000000000003,23
1.1542349224292314,2,2.4000000000000004,24
1.1542349224292314,1,2.5,25
1.1542349224292314,1,2.6,26
1.1542349224292314,1,2.7,27
1.1542349224292314,1,2.8000000000000003,28
1.1542349224292314,2,2.9000000000000004,29
1.1542349224292314,1,3.0,30
1.1542349224292314,0,3.1,31
1.1542349224292314,1,3.2,32
1.1542349224292314,1,3.3000000000000003,33
1.1542349224292314,1,3.4000000000000004,34
1.1542349224292314,0,3.5,35
1.1542349224292314,1,3.6,36
1.1542349224292314,1,3.7,37
1.1542349224292314,2,3.8000000000000003,38
1.1542349224292314,1,3.9000000000000004,39
1.1542349224292314,1,4.0,40
1.1542349224292314,1,4.1000000000000005,41
1.1542349224292314,1,4.2,42
1.1542349224292314,2,4.3,43
1.1542349224292314,2,4.4,44
1.1542349224292314,1,4.5,45
1.1542349224292314,1,4.6000000000000005,46
1.1542349224292314,3,4.7,47
1.1542349224292314,1,4.800000000000001,48
1.1542349224292314,3,4.9,49
1.1542349224292314,1,5.0,50
1.1542349224292314,0,5.1000000000000005,51
1.1542349224292314,0,5.2,52
1.1542349224292314,0,5.300000000000001,53
1.1542349224292314,0,5.4,54
1.1542349224292314,2,5.5,55
1.1542349224292314,1,5.6000000000000005,56
1.1542349224292314,0,5.7,57
1.1542349224292314,0,5.800000000000001,58
1.1542349224292314,0,5.9,59
1.1542349224292314,1,6.0,60
1.1542349224292314,0,6.1000000000000005,61
1.1542349224292314,1,6.2,62
1.1542349224292314,1,6.300000000000001,63
1.1542349224292314,1,6.4,64
1.1542349224292314,2,6.5,65
1.1542349224292314,2,6.6000000000000005,66
1.1542349224292314,1,6.7,67
1.1542349224292314,0,6.800000000000001,68
1.1542349224292314,1,6.9,69
1.1542349224292314,1,7.0,70
1.1542349224292314,2,7.1000000000000005,71
1.1542349224292314,0,7.2,72
1.1542349224292314,0,7.300000000000001,73
1.1542349224292314,2,7.4,74
1.1542349224292314,1,7.5,75
1.1542349224292314,2,7.6000000000000005,76
1.1542349224292314,0,7.7,77
1.1542349224292314,0,7.800000000000001,78
1.1542349224292314,0,7.9,79
1.1542349224292314,2,8.0,80
1.1542349224292314,2,8.1,81
1.1542349224292314,0,8.200000000000001,82
1.1542349224292314,1,8.3,83
1.1542349224292314,0,8.4,84
1.1542349224292314,1,8.5,85
1.1542349224292314,1,8.6,86
1.1542349224292314,3,8.700000000000001,87
1.1542349224292314,1,8.8,88
1.1542349224292314,0,8.9,89
1.1542349224292314,1,9.0,90
1.1542349224292314,1,9.1,91
1.1542349224292314,1,9.200000000000001,92
1.1542349224292314,2,9.3,93
1.1542349224292314,2,9.4,94
1.1542349224292314,1,9.5,95
1.1542349224292314,0,9.600000000000001,96
1.1542349224292314,1,9.700000000000001,97
1.1542349224292314,0,9.8,98
1.1542349224292314,1,9.9,99
1.2128465158273316,0,0.0,0
1.2128465158273316,0,0.1,1
1.2128465158273316,1,0.2,2
1.2128465158273316,1,0.30000000000000004,3
1.2128465158273316,1,0.4,4
1.2128465158273316,0,0.5,5
1.2128465158273316,1,0.6000000000000001,6
1.2128465158273316,0,0.7000000000000001,7
1.2128465158273316,1,0.8,8
1.2128465158273316,0,0.9,9
1.2128465158273316,0,1.0,10
1.2128465158273316,2,1.1,11
1.2128465158273316,0,1.2000000000000002,12
1.2128465158273316,0,1.3,13
1.2128465158273316,1,1.4000000000000001,14
1.2128465158273316,1,1.5,15
1.2128465158273316,1,1.6,16
1.2128465158273316,1,1.7000000000000002,17
1.2128465158273316,1,1.8,18
1.2128465158273316,1,1.9000000000000001,19
1.2128465158273316,1,2.0,20
1.2128465158273316,0,2.1,21
1.2128465158273316,1,2.2,22
1.2128465158273316,1,2.3000000000000003,23
1.2128465158273316,2,2.4000000000000004,24
1.2128465158273316,1,2.5,25
1.2128465158273316,1,2.6,26
1.2128465158273316,1,2.7,27
1.2128465158273316,1,2.8000000000000003,28
1.2128465158273316,2,2.9000000000000004,29
1.2128465158273316,1,3.0,30
1.2128465158273316,0,3.1,31
1.2128465158273316,1,3.2,32
1.2128465158273316,1,3.3000000000000003,33
1.2128465158273316,1,3.4000000000000004,34
1.2128465158273316,0,3.5,35
1.2128465158273316,1,3.6,36
1.2128465158273316,1,3.7,37
1.2128465158273316,2,3.8000000000000003,38
1.2128465158273316,1,3.9000000000000004,39
1.2128465158273316,1,4.0,40
1.2128465158273316,1,4.1000000000000005,41
1.2128465158273316,1,4.2,42
1.2128465158273316,2,4.3,43
1.2128465158273316,2,4.4,44
1.2128465158273316,2,4.5,45
1.2128465158273316,1,4.6000000000000005,46
1.2128465158273316,3,4.7,47
1.2128465158273316,1,4.800000000000001,48
1.2128465158273316,3,4.9,49
1.2128465158273316,1,5.0,50
1.2128465158273316,0,5.1000000000000005,51
1.2128465158273316,0,5.2,52
1.2128465158273316,1,5.300000000000001,53
1.2128465158273316,0,5.4,54
1.2128465158273316,2,5.5,55
1.2128465158273316,1,5.6000000000000005,56
1.2128465158273316,0,5.7,57
1.2128465158273316,0,5.800000000000001,58
1.2128465158273316,0,5.9,59
1.2128465158273316,1,6.0,60
1.2128465158273316,0,6.1000000000000005,61
1.2128465158273316,1,6.2,62
1.2128465158273316,1,6.300000000000001,63
1.2128465158273316,1,6.4,64
1.2128465158273316,2,6.5,65
1.2128465158273316,2,6.6000000000000005,66
1.2128465158273316,1,6.7,67
1.2128465158273316,0,6.800000000000001,68
1.2128465158273316,1,6.9,69
1.2128465158273316,1,7.0,70
1.2128465158273316,2,7.1000000000000005,71
1.2128465158273316,0,7.2,72
1.2128465158273316,0,7.300000000000001,73
1.2128465158273316,2,7.4,74
1.2128465158273316,1,7.5,75
1.2128465158273316,2,7.6000000000000005,76
1.2128465158273316,0,7.7,77
1.2128465158273316,0,7.800000000000001,78
1.2128465158273316,0,7.9,79
1.2128465158273316,2,8.0,80
1.2128465158273316,2,8.1,81
1.2128465158273316,0,8.200000000000001,82
1.2128465158273316,1,8.3,83
1.2128465158273316,0,8.4,84
1.2128465158273316,1,8.5,85
1.2128465158273316,1,8.6,86
1.2128465158273316,3,8.700000000000001,87
1.2128465158273316,1,8.8,88
1.2128465158273316,0,8.9,89
1.2128465158273316,1,9.0,90
1.2128465158273316,1,9.1,91
1.2128465158273316,1,9.200000000000001,92
1.2128465158273316,2,9.3,93
1.2128465158273316,2,9.4,94
1.2128465158273316,1,9.5,95
1.2128465158273316,0,9.600000000000001,96
1.2128465158273316,1,9.700000000000001,97
1.2128465158273316,0,9.8,98
1.2128465158273316,1,9.9,99
1.2618713583185215,0,0.0,0
1.2618713583185215,0,0.1,1
1.2618713583185215,1,0.2,2
1.2618713583185215,1,0.30000000000000004,3
1.2618713583185215,1,0.4,4
1.2618713583185215,0,0.5,5
1.2618713583185215,1,0.6000000000000001,6
1.2618713583185215,0,0.7000000000000001,7
1.2618713583185215,1,0.8,8
1.2618713583185215,0,0.9,9
1.2618713583185215,0,1.0,10
1.2618713583185215,2,1.1,11
1.2618713583185215,0,1.2000000000000002,12
1.2618713583185215,0,1.3,13
1.2618713583185215,1,1.4000000000000001,14
1.2618713583185215,1,1.5,15
1.2618713583185215,1,1.6,16
1.2618713583185215,1,1.7000000000000002,17
1.2618713583185215,1,1.8,18
1.2618713583185215,1,1.9000000000000001,19
1.2618713583185215,1,2.0,20
1.2618713583185215,0,2.1,21
1.2618713583185215,1,2.2,22
1.2618713583185215,1,2.3000000000000003,23
1.2618713583185215,2,2.4000000000000004,24
1.2618713583185215,1,2.5,25
1.2618713583185215,1,2.6,26
1.2618713583185215,1,2.7,27
1.2618713583185215,1,2.8000000000000003,28
1.2618713583185215,2,2.9000000000000004,29
1.2618713583185215,1,3.0,30
1.2618713583185215,0,3.1,31
1.2618713583185215,1,3.2,32
1.2618713583185215,1,3.3000000000000003,33
1.2618713583185215,1,3.4000000000000004,34
1.2618713583185215,0,3.5,35
1.2618713583185215,1,3.6,36
1.2618713583185215,1,3.7,37
1.2618713583185215,2,3.8000000000000003,38
1.2618713583185215,1,3.9000000000000004,39
1.2618713583185215,1,4.0,40
1.2618713583185215,1,4.1000000000000005,41
1.2618713583185215,1,4.2,42
1.2618713583185215,2,4.3,43
1.2618713583185215,2,4.4,44
1.2618713583185215,2,4.5,45
1.2618713583185215,1,4.6000000000000005,46
1.2618713583185215,3,4.7,47
1.2618713583185215,1,4.800000000000001,48
1.2618713583185215,3,4.9,49
1.2618713583185215,1,5.0,50
1.2618713583185215,0,5.1000000000000005,51
1.2618713583185215,0,5.2,52
1.2618713583185215,1,5.300000000000001,53
1.2618713583185215,0,5.4,54
1.2618713583185215,2,5.5,55
1.2618713583185215,1,5.6000000000000005,56
1.2618713583185215,0,5.7,57
1.2618713583185215,0,5.800000000000001,58
1.2618713583185215,0,5.9,59
1.2618713583185215,1,6.0,60
1.2618713583185215,1,6.1000000000000005,61
1.2618713583185215,1,6.2,62
1.2618713583185215,1,6.300000000000001,63
1.2618713583185215,1,6.4,64
1.2618713583185215,3,6.5,65
1.2618713583185215,2,6.6000000000000005,66
1.2618713583185215,1,6.7,67
1.2618713583185215,0,6.800000000000001,68
1.2618713583185215,1,6.9,69
1.2618713583185215,1,7.0,70
1.2618713583185215,2,7.1000000000000005,71
1.2618713583185215,0,7.2,72
1.2618713583185215,0,7.300000000000001,73
1.2618713583185215,2,7.4,74
1.2618713583185215,1,7.5,75
1.2618713583185215,2,7.6000000000000005,76
1.2618713583185215,0,7.7,77
1.2618713583185215,0,7.800000000000001,78
1.2618713583185215,0,7.9,79
1.2618713583185215,2,8.0,80
1.2618713583185215,2,8.1,81
1.2618713583185215,0,8.200000000000001,82
1.2618713583185215,1,8.3,83
1.2618713583185215,0,8.4,84
1.2618713583185215,1,8.5,85
1.2618713583185215,1,8.6,86
1.2618713583185215,3,8.700000000000001,87
1.2618713583185215,1,8.8,88
1.2618713583185215,0,8.9,89
1.2618713583185215,1,9.0,90
1.2618713583185215,1,9.1,91
1.2618713583185215,1,9.200000000000001,92
1.2618713583185215,2,9.3,93
1.2618713583185215,2,9.4,94
1.2618713583185215,1,9.5,95
1.2618713583185215,0,9.600000000000001,96
1.2618713583185215,1,9.700000000000001,97
1.2618713583185215,0,9.8,98
1.2618713583185215,1,9.9,99
1.2658593133138623,0,0.0,0
1.2658593133138623,0,0.1,1
1.2658593133138623,1,0.2,2
1.2658593133138623,1,0.30000000000000004,3
1.2658593133138623,1,0.4,4
1.2658593133138623,0,0.5,5
1.2658593133138623,1,0.6000000000000001,6
1.2658593133138623,0,0.7000000000000001,7
1.2658593133138623,1,0.8,8
1.2658593133138623,0,0.9,9
1.2658593133138623,0,1.0,10
1.2658593133138623,2,1.1,11
1.2658593133138623,0,1.2000000000000002,12
1.2658593133138623,0,1.3,13
1.2658593133138623,1,1.4000000000000001,14
1.2658593133138623,1,1.5,15
1.2658593133138623,1,1.6,16
1.2658593133138623,1,1.7000000000000002,17
1.2658593133138623,1,1.8,18
1.2658593133138623,1,1.9000000000000001,19
1.2658593133138623,1,2.0,20
1.2658593133138623,0,2.1,21
1.2658593133138623,1,2.2,22
1.2658593133138623,1,2.3000000000000003,23
1.2658593133138623,2,2.4000000000000004,24
1.2658593133138623,1,2.5,25
1.2658593133138623,1,2.6,26
1.2658593133138623,1,2.7,27
1.2658593133138623,1,2.8000000000000003,28
1.2658593133138623,2,2.9000000000000004,29
1.2658593133138623,1,3.0,30
1.2658593133138623,0,3.1,31
1.2658593133138623,1,3.2,32
1.2658593133138623,1,3.3000000000000003,33
1.2658593133138623,1,3.4000000000000004,34
1.2658593133138623,0,3.5,35
1.2658593133138623,1,3.6,36
1.2658593133138623,1,3.7,37
1.2658593133138623,2,3.8000000000000003,38
1.2658593133138623,1,3.9000000000000004,39
1.2658593133138623,1,4.0,40
1.2658593133138623,1,4.1000000000000005,41
1.2658593133138623,1,4.2,42
1.2658593133138623,2,4.3,43
1.2658593133138623,2,4.4,44
1.2658593133138623,2,4.5,45
1.2658593133138623,1,4.6000000000000005,46
1.2658593133138623,4,4.7,47
1.2658593133138623,1,4.800000000000001,48
1.2658593133138623,3,4.9,49
1.2658593133138623,1,5.0,50
1.2658593133138623,0,5.1000000000000005,51
1.2658593133138623,0,5.2,52
1.2658593133138623,1,5.300000000000001,53
1.2658593133138623,0,5.4,54
1.2658593133138623,2,5.5,55
1.2658593133138623,1,5.6000000000000005,56
1.2658593133138623,0,5.7,57
1.2658593133138623,0,5.800000000000001,58
1.2658593133138623,0,5.9,59
1.2658593133138623,1,6.0,60
1.2658593133138623,1,6.1000000000000005,61
1.2658593133138623,1,6.2,62
1.2658593133138623,1,6.300000000000001,63
1.2658593133138623,1,6.4,64
1.2658593133138623,3,6.5,65
1.2658593133138623,2,6.6000000000000005,66
1.2658593133138623,1,6.7,67
1.2658593133138623,0,6.800000000000001,68
1.2658593133138623,1,6.9,69
1.2658593133138623,1,7.0,70
1.2658593133138623,2,7.1000000000000005,71
1.2658593133138623,0,7.2,72
1.2658593133138623,0,7.300000000000001,73
1.2658593133138623,2,7.4,74
1.2658593133138623,1,7.5,75
1.2658593133138623,2,7.6000000000000005,76
1.2658593133138623,1,7.7,77
1.2658593133138623,0,7.800000000000001,78
1.2658593133138623,0,7.9,79
1.2658593133138623,2,8.0,80
1.2658593133138623,2,8.1,81
1.2658593133138623,0,8.200000000000001,82
1.2658593133138623,1,8.3,83
1.2658593133138623,0,8.4,84
1.2658593133138623,1,8.5,85
1.2658593133138623,1,8.6,86
1.2658593133138623,3,8.700000000000001,87
1.2658593133138623,1,8.8,88
1.2658593133138623,0,8.9,89
