t,degree,freq
0.0007458288292634474,0,148
0.0007458288292634474,1,2
0.010635037619597387,0,146
0.010635037619597387,1,4
0.03195648517991138,0,144
0.03195648517991138,1,6
0.0816224750452143,0,142
0.0816224750452143,1,8
0.08212584927783392,0,140
0.08212584927783392,1,10
0.10115904623265452,0,138
0.10115904623265452,1,12
0.10264354967449946,0,136
0.10264354967449946,1,14
0.10625706991092052,0,134
0.10625706991092052,1,16
0.12578878825611756,0,132
0.12578878825611756,1,18
0.12812979270582414,0,130
0.12812979270582414,1,20
0.13590021054573165,0,128
0.13590021054573165,1,22
0.13634848936123597,0,126
0.13634848936123597,1,24
0.13722508573780895,0,124
0.13722508573780895,1,26
0.14412030839108037,0,122
0.14412030839108037,1,28
0.2344273666117478,0,120
0.2344273666117478,1,30
0.23521598812098893,0,118
0.23521598812098893,1,32
0.24455717178761216,0,117
0.24455717178761216,1,32
0.24455717178761216,2,1
0.28480999165045673,0,115
0.28480999165045673,1,34
0.28480999165045673,2,1
0.29848168291541916,0,113
0.29848168291541916,1,36
0.29848168291541916,2,1
0.3055087700934743,0,111
0.3055087700934743,1,38
0.3055087700934743,2,1
0.30742617347390816,0,109
0.30742617347390816,1,40
0.30742617347390816,2,1
0.3378971406046505,0,107
0.3378971406046505,1,42
0.3378971406046505,2,1
0.3618869889940839,0,105
0.3618869889940839,1,44
0.3618869889940839,2,1
0.4025205428679453,0,103
0.4025205428679453,1,46
0.4025205428679453,2,1
0.4235596799006396,0,101
0.4235596799006396,1,48
0.4235596799006396,2,1
0.43184682830866983,0,99
0.43184682830866983,1,50
0.43184682830866983,2,1
0.43839287270576976,0,100
0.43839287270576976,1,50
0.44282402560230155,0,98
0.44282402560230155,1,52
0.4565386609655058,0,96
0.4565386609655058,1,54
0.46231591257103866,0,94
0.46231591257103866,1,56
0.4701511723363282,0,92
0.4701511723363282,1,58
0.48127208120757947,0,90
0.48127208120757947,1,60
0.4871199601287892,0,88
0.4871199601287892,1,62
0.49357722394995385,0,86
0.49357722394995385,1,64
0.5570940699119452,0,84
0.5570940699119452,1,66
0.5617656726450603,0,82
0.5617656726450603,1,68
0.6400652621532572,0,80
0.6400652621532572,1,70
0.6574181260129334,0,78
0.6574181260129334,1,72
0.6686988858130866,0,76
0.6686988858130866,1,74
0.6847508965350364,0,74
0.6847508965350364,1,76
0.6855300227253095,0,72
0.6855300227253095,1,78
0.6953189803412649,0,70
0.6953189803412649,1,80
0.7327870128490459,0,69
0.7327870128490459,1,80
0.7327870128490459,2,1
0.7447419299007094,0,67
0.7447419299007094,1,82
0.7447419299007094,2,1
0.7605337088889115,0,65
0.7605337088889115,1,84
0.7605337088889115,2,1
0.7648914472309079,0,64
0.7648914472309079,1,84
0.7648914472309079,2,2
0.7673155335374746,0,62
0.7673155335374746,1,86
0.7673155335374746,2,2
0.7919791098312001,0,64
0.7919791098312001,1,84
0.7919791098312001,2,2
0.8266526087381435,0,66
0.8266526087381435,1,82
0.8266526087381435,2,2
0.8450713698997965,0,64
0.8450713698997965,1,84
0.8450713698997965,2,2
0.9046707242691379,0,63
0.9046707242691379,1,84
0.9046707242691379,2,3
0.9150758292899261,0,61
0.9150758292899261,1,86
0.9150758292899261,2,3
0.9578523496997853,0,59
0.9578523496997853,1,88
0.9578523496997853,2,3
0.9847001468517023,0,57
0.9847001468517023,1,90
0.9847001468517023,2,3
1.0081964071887977,0,59
1.0081964071887977,1,88
1.0081964071887977,2,3
1.0976217910333474,0,58
1.0976217910333474,1,88
1.0976217910333474,2,4
1.188932593801742,0,57
1.188932593801742,1,88
1.188932593801742,2,5
1.214485235766583,0,55
1.214485235766583,1,90
1.214485235766583,2,5
1.274124885297368,0,53
1.274124885297368,1,92
1.274124885297368,2,5
1.373822910852387,0,52
1.373822910852387,1,92
1.373822910852387,2,6
1.387628317890492,0,54
1.387628317890492,1,90
1.387628317890492,2,6
1.4781704974804621,0,52
1.4781704974804621,1,92
1.4781704974804621,2,6
1.5833576925443524,0,51
1.5833576925443524,1,92
1.5833576925443524,2,7
1.6460595746015134,0,49
1.6460595746015134,1,94
1.6460595746015134,2,7
1.6547201246605727,0,47
1.6547201246605727,1,96
1.6547201246605727,2,7
1.6569302355763729,0,46
1.6569302355763729,1,96
1.6569302355763729,2,8
1.6997489818052325,0,48
1.6997489818052325,1,94
1.6997489818052325,2,8
1.7234956440000886,0,46
